BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3385789,Shelter of the most high / Connilyn Cossette.,"Cossette, Connilyn","0764219871, 0764232797, 9780764219870, 9780764232794",[2018],"Bethany House, a division of Baker Publishing Group,","Bible Old Testament History of Biblical events Fiction, Christian fiction, Historical fiction, Bible fiction",acbk,nafic,,swt,08/01/2020,1
3455078,Love on every breath : Tonglen meditation for transforming pain into joy / Lama Palden Drolma.,"Drolma, Palden, Lama, 1952-","1608685764, 9781608685769, 9781608685776",[2019],"New World Library,","Meditation Buddhism, Spiritual life Buddhism, Compassion Religious aspects Buddhism, Buddhism China Tibet Autonomous Region",acbk,canf,,cen,02/01/2020,1
3484207,Elements of fiction / Walter Mosley.,"Mosley, Walter","0802147631, 9780802147639",[2019],Grove Press : Distributed by Publishers Group West,"Fiction Authorship, Fiction Technique, Creative writing, Plots Drama novel etc",acbk,nanf,,nhy,10/01/2020,1
89757,The dawn's early light.,"Lord, Walter, 1917-2002",0393054527,[1972],"Norton,",United States History War of 1812,acbk,canf,,cen,06/01/2020,1
3229240,An extraordinary union / Alyssa Cole.,"Cole, Alyssa","1496707443, 9781496707444",[2017],"Kensington Books,","African American women Fiction, Women spies Fiction, Secret service Fiction, Man woman relationships Fiction, United States History Civil War 1861 1865 Participation Female Fiction, Spy fiction, Romance fiction, Historical fiction",acbk,nafic,,net,06/01/2020,1
3109450,"Are we there, Yeti? / Ashlyn Anstee.","Anstee, Ashlyn","1481430890, 9781481430890",[2015],"Simon & Schuster Books for Young Readers,","School field trips Juvenile fiction, Bus drivers Juvenile fiction, Yeti Juvenile fiction, Humorous stories",jcbk,ncpic,,bea,11/01/2020,1
3505565,The measure of our lives : a gathering of wisdom / Toni Morrison ; foreword by Zada Smith.,"Morrison, Toni","0525659293, 9780525659297",2019.,"Alfred A. Knopf,","Morrison Toni Quotations, Self actualization Psychology Quotations, Quotations",acbk,nanf,,wal,03/01/2020,1
2903105,Reconstructing America / Joy Hakim.,"Hakim, Joy","0195189000, 0195189043, 019522311X, 0195223225, 0195327217, 9780195189001, 9780195189049, 9780195223118, 9780195223224, 9780195327212",[2005],"Oxford University Press,","Reconstruction U S history 1865 1877 Juvenile literature, United States History 1865 1898 Juvenile literature, United States Social conditions 1865 1918 Juvenile literature",jcbk,ncnf,,glk,01/01/2020,1
3420447,Job site / Nathan Clement.,"Clement, Nathan, 1966-","1590787692, 9781590787694",[2011],"Boyds Mills Press,","Building Juvenile fiction, Construction equipment Juvenile fiction, Construction workers Juvenile fiction, Picture books",jcbk,ncpic,,net,04/01/2020,2
3456841,Fake it till you break it / Jenn P. Nguyen.,"Nguyen, Jenn P.","1250308011, 9781250308016",2019.,"Swoon Reads,","Dating Social customs Juvenile fiction, Interpersonal relations Juvenile fiction, Dating Social customs Fiction, Interpersonal relations Fiction, Romance fiction",acbk,nyfic,,swt,08/01/2020,1
3396984,The stuff of stars / Marion Dane Bauer ; illustrations by Ekua Holmes.,"Bauer, Marion Dane","076367883X, 9780763678838",2018.,"Candlewick Press,","Big bang theory Juvenile literature, Big bang theory, Picture books",jcbk,ncpic,,bro,04/01/2020,1
3402905,Kickback : exposing the global corporate bribery network / David Montero.,"Montero, David.","0670016470, 9780670016471",[2018],"Viking,","Corporations Corrupt practices, Bribery",acbk,nanf,,qna,11/01/2020,1
3269706,"Two paths : America divided or united / John Kasich, with Daniel Paisner.","Kasich, John","1250138469, 9781250138460",c2017.,"Thomas Dunne Book/St. Martin's Press,","Kasich John, Presidents United States Election 2016, Presidential candidates United States Biography, United States Politics and government 2009, Autobiographies",acbk,canf,,cen,07/01/2020,2
3434400,Mad blood stirring / Simon Mayo.,"Mayo, Simon","164313003X, 9781643130033",2019.,"Pegasus Books,","Dartmoor Prison Fiction, Napoleonic Wars 1800 1815 Participation American Fiction, Great Britain History 1800 1837 Fiction, Historical fiction",acbk,nafic,,nga,11/01/2020,1
2767155,"Dying to be me : my journey from cancer, to near death, to true healing / Anita Moorjani.","Moorjani, Anita, 1959-","1401937519, 1401937535, 9781401937515, 9781401937539",2012.,"Hay House,","Moorjani Anita 1959 Health, Cancer Patients Biography, Cancer Psychological aspects",acbk,nanf,,gwd,09/01/2020,1
3404409,Attack of the plants / by Annmarie Anderson.,"Anderson, AnnMarie","1338290797, 1338290800, 9781338290790, 9781338290806",2018.,"Scholastic,","Plants Juvenile fiction, Galapagos Islands Juvenile fiction, Introduced organisms Juvenile fiction, Plants Fiction, Galapagos Islands Fiction",jcbk,ncef,,mon,08/01/2020,1
3472661,The unkindest tide / Seanan McGuire.,"McGuire, Seanan","0756415071, 9780756415075",2019.,"DAW Books,","Daye October Fictitious character Fiction, Fairies Fiction, Debt Fiction, Murder Fiction, Selkies Fiction, Fantasy fiction, Fantasy fiction, Paranormal fiction",acbk,nafic,,lcy,11/01/2020,1
3422536,Love in the new millennium / Can Xue ; foreword by Eileen Myles ; translated from the Chinese by Annelise Finegan Wasmoen.,"Canxue, 1953-","0300224311, 9780300224313",[2018],"Yale University Press,","Husband and wife Fiction, Paramours Fiction, Romance fiction, Love stories",acbk,nafic,,bea,07/01/2020,1
3436943,Animalicious : a quirky ABC book / Anna Dewdney & Reed Duncan ; illustrations by Claudia Boldt.,"Dewdney, Anna","1524792055, 9781524792053",[2019],"Penguin Workshop, an imprint of Penguin Random House LLC,","Animals Mythical Juvenile literature, Alphabet books, Alphabet, Picture books",jcbk,ncpic,,glk,10/01/2020,1
3104956,Grendel's game / Erik Mauritzson.,"Mauritzson, Erik","1579623980, 9781579623982",[2015],"The Permanent Press,","Serial murder investigation Fiction, Mystery fiction",acbk,namys,Floating,bal,06/01/2020,1
3086463,"Billy Sure, kid entrepreneur / invented by Luke Sharpe ; drawings by Graham Ross.","Sharpe, Luke (Children's fiction writer)","1481439472, 1481439480, 9781481439473, 9781481439480",2015.,"Simon Spotlight,","Young businesspeople Juvenile fiction, Contests Juvenile fiction, Inventors Juvenile fiction",jcbk,ncfic,,fre,02/01/2020,1
3455706,Dogs and their people / Anne Lambelet.,"Lambelet, Anne","1624146899, 9781624146893",2019.,"Page Street Kids, an imprint of Page Street Publishing Co.,","Dogs Juvenile fiction, Human animal relationships Juvenile fiction, Humorous fiction",jcbk,ncpic,,bal,05/01/2020,1
3229716,"Judge Dredd. Mega-city zero. Volume 3 / [writers, Ulises Farinas & Erick Freitas ; artist, Dan McDaid ; colorist, Ryan Hill ; letterers, Shawn Lee and Chris Mowry].","Farinas, Ulises","1631408380, 9781631408380",[2017],"IDW,","Dredd Judge Fictitious character Comic books strips etc, Science fiction comics, Graphic novels, Comics Graphic works",acbk,cacomic,,cen,03/01/2020,1
3295819,Mysteries of the Overworld / Danica Davidson.,"Davidson, Danica","1510727035, 1510728511, 9781510727038, 9781510727090, 9781510728516",[2018],"Sky Pony Press,","Adventure and adventurers Fiction, Minecraft Game Juvenile fiction, Video games Juvenile fiction",jcbk,ncfic,,swt,04/01/2020,1
1695109,"Crossing the frontier : photographs of the developing West, 1849 to the present / Sandra S. Phillips ... [and others].",,0811814203,[1996],"San Francisco Museum of Modern Art : Chronicle Books,","Landscape photography West U S Exhibitions, West U S History Exhibitions",acbk,canf,,cen,11/01/2020,1
3420592,Phrases of the moon : lunar poems / J. Patrick Lewis ; illustrated by Jori van der Linde.,"Lewis, J. Patrick","1568463111, 9781568463117",[2018],"Creative Editions,",Moon Juvenile poetry,jcbk,ncenf,,qna,05/01/2020,1
518624,"Volvo 740 & 760 owners workshop manual : models covered, Volvo 740, GL, GLE and GLT, 2316 cc, Volvo 740 Turbo and 760 Turbo, 2316 cc, Volvo 760 GLE, 2849 cc, does not cover changes introduced for 1987 model year, or diesel engine variants / Matthew Minter.","Minter, Matthew",1850102589,[1987],"Haynes Pub.Group ; Haynes Publications,",Volvo automobile Maintenance and repair Handbooks manuals etc,acbk,canf,,cen,07/01/2020,1
3439108,The White City / Grace Hitchcock.,"Hitchcock, Grace","1683228685, 9781683228684",[2019],"Barbour Books,","Mudgett Herman W 1861 1896 Fiction, Worlds Columbian Exposition 1893 Chicago Ill Fiction, Kidnapping Investigation Fiction, Chicago Ill History 19th century Fiction, Detective and mystery fiction, Historical fiction, Christian fiction",acbk,nafic,,nga,07/01/2020,1
2523221,"The milkshake moment : overcoming stupid systems, pointless policies, and muddled management to realize real growth / Steven S. Little.","Little, Steven S., 1961-","0470257466, 9780470257463",[2008],"John Wiley & Sons,","Industrial management, Integrity, Conformity, Employee empowerment, Organizational effectiveness",acbk,canf,,cen,11/01/2022,1
3277381,How it feels to be a boat / written and illustrated by James Kwan.,"Kwan, James","0544715330, 9780544715332",[2017],"Houghton Mifflin Harcourt,","Distress Psychology Juvenile fiction, Anxiety Juvenile fiction, Worry Juvenile fiction, Emotional intelligence Juvenile fiction, Boats and boating Juvenile fiction, Picture books",jcbk,ncpic,,net,01/01/2020,1
2363460,Genealogical research in Nova Scotia / Terrence M. Punch.,"Punch, Terrence M.",1551092352,[1998],"Nimbus,",Nova Scotia Genealogy Handbooks manuals etc,arbk,cagbi,,cen,09/01/2020,1
2734243,The Christmas pups / by Teresa Bateman ; illustrated by John Kanzler.,"Bateman, Teresa","0807511609, 9780807511602",2011.,"Albert Whitman,","Dog adoption Juvenile fiction, Animal shelters Juvenile fiction, Dogs Fiction, Animals Infancy Juvenile fiction, Christmas Fiction",jcbk,nchol,,gwd,07/01/2020,1
3047358,English grammar in use : a self-study reference and practice book for intermediate students of English : with answers / Raymond Murphy.,"Murphy, Raymond","0521189063, 9780511961731, 9780521189064, 9780521189088, 9780521189392, 9781107641389",2012.,"Cambridge University Press,","English language Textbooks for foreign speakers, English language Grammar, English language Grammar Problems exercises etc",bcbk,naesli,,net,12/01/2020,2
91002,Whispers from old Genesee and echoes of the Salmon River / by John A. Platt.,"Platt, John A.",0877701431,1975.,"Galleon Press,","Platt John A, Frontier and pioneer life Idaho, Genesee Idaho History, Salmon River Valley Idaho History",acbk,canf,,cen,06/01/2020,1
3494394,The starless sea / Erin Morgenstern.,"Morgenstern, Erin","0593106482, 9780593106488",[2019],"Random House Large Print,","Imaginary places Fiction, Magic Fiction, Library shelving Fiction, Man woman relationships Fiction, Seas Fiction, Rare books Fiction, Graduate students Fiction, Vermont Fiction, Large type books, Fantasy fiction, Romance fiction",acbk,nalpfic,Floating,nga,02/01/2020,1
3339231,What will soon take place : poems / Tania Runyan.,"Runyan, Tania","161261857X, 9781612618579","[2017], c2018.","Paraclete Press,",,acbk,nanf,,glk,02/01/2020,1
1663590,The Hudson River school : American landscape artists / Bert D. Yaeger.,"Yaeger, Bert D.",0831780843,[1996],"Smithmark,","Hudson River school of landscape painting, Landscape painting American Hudson River Valley N Y and N J, Landscape painting American Hudson River Valley N Y and N J 19th century, Hudson River Valley N Y and N J In art",acbk,nanf,,gwd,03/01/2020,1
3218975,What's wrong with mindfulness (and what isn't) : Zen perspectives / edited by Robert Meikyo Rosenbaum and Barry Magid.,,"1614292833, 9781614292838",[2016],"Wisdom,","Meditation Buddhism, Zen Buddhism Doctrines",acbk,canf,,cen,02/01/2020,1
3458644,One tiny turtle / Nicola Davies ; illustrated by Jane Chapman.,"Davies, Nicola, 1958-","0763623113, 1417674814, 9780763623111, 9781417674817",2004.,"Candlewick Press,","Loggerhead turtle Juvenile literature, Turtles",jcbk,ncenf,,lcy,04/01/2020,1
3296444,Barking to the choir : the power of radical kinship / Gregory Boyle.,"Boyle, Greg","1476726159, 1476726167, 9781476726151, 9781476726168",2017.,"Simon & Schuster,","Boyle Greg, Church work with juvenile delinquents California East Los Angeles, Christian life Anecdotes",acbk,nanf,,cap,01/01/2020,1
3409834,The bird king / G. Willow Wilson.,"Wilson, G. Willow, 1982-","080212903X, 9780802129031",[2019],"Grove Press,","Cartographers Fiction, Inquisition Spain Fiction, Voyages and travels Fiction, Spain History 711 1516 Fiction, Fantasy fiction, Historical fiction",acbk,cafic,,cen,04/01/2020,5
3344962,Blue rider / Geraldo Valério.,"Valério, Geraldo, 1970-","1554989817, 9781554989812",2018.,"Groundwood Books, House of Anansi Press,","Imagination Juvenile fiction, Books and reading Juvenile fiction, Stories without words",jcbk,ncpic,,uni,02/01/2020,1
2985877,Vintage beer : a taster's guide to brews that improve over time / Patrick Dawson.,"Dawson, Patrick, 1982-","161212156X, 9781612121567, 9781612123844",[2014],"Storey Publishing,","Beer, Beer tasting",acbk,nanf,,net,06/01/2020,1
3446012,"Peterson's SAT prep guide : the ultimate guide to mastering the SAT exam, 2019.",,"0768942497, 9780768942491",[2019],"Peterson's,","SAT Educational test Study guides, Universities and colleges United States Entrance examinations Study guides, College entrance achievement tests Study guides, Study guides, Examinations",acbk,canf,,cen,06/01/2020,2
2863057,Not your typical dragon / by Dan Bar-el ; illustrated by Tim Bowers.,"Bar-el, Dan","0670014028, 9780670014026",2013.,"Viking,","Dragons Juvenile fiction, Individuality Juvenile fiction, Self acceptance Juvenile fiction",jcbk,ncpic,,mgm,09/01/2020,1
3378147,Florida / Jason Ferguson.,"Ferguson, Jason","1631217453, 9781631217456",2018.,"Avalon Travel,",Florida Guidebooks,acbk,nanf,,bea,03/01/2020,1
3028943,"Bride of the Water God. 16 / story and art by Mi-Kyung Yun ; translation, Julia Kwon Gombos ; English adaptation, Philip R. Simon ; lettering, Studio Cutie & Betty Dong.","Yun, Mi-gyŏng, 1980-","1616554800, 9781616554804",2014.,"Dark Horse Manhwa,","Gods Comic books strips etc, Man woman relationships Comic books strips etc, Human sacrifice Comic books strips etc, Fantasy comics, Romance comics, Graphic novels",acbk,cycomic,,cen,05/01/2020,1
3266028,The partly cloudy patriot / Sarah Vowell.,"Vowell, Sarah, 1969-","0743243803, 9780743243803",2003.,"Simon & Schuster Paperbacks,","Vowell Sarah 1969 Anecdotes, National characteristics American Anecdotes, United States History Anecdotes, United States Politics and government Anecdotes, United States Description and travel Anecdotes",acbk,nanf,,dth,10/01/2020,1
2986519,The third rule of Ten : a Tenzing Norbu mystery / Gay Hendricks and Tinker Lindsay.,"Hendricks, Gay","1401941672, 9781401941673",2014.,"Hay House Visions,",Mystery fiction,acbk,camys,,cen,03/01/2020,1
3077246,Peace is an offering / words by Annette LeBox ; pictures by Stephanie Graegin.,"LeBox, Annette","0803740913, 9780803740914",[2015],"Dial Books for Young Readers, an imprint of Penguin Group (USA) LLC,","Peace Juvenile fiction, Stories in rhyme Juvenile fiction",jcbk,ncpic,,swt,04/01/2020,1
122005,People / written and illustrated by Peter Spier.,"Spier, Peter, 1927-2017","038513181X, 0385131828",[1980],"Doubleday,","Individuality Juvenile literature, Personality Juvenile literature, Culture Juvenile literature, Population Juvenile literature",jcbk,ncenf,,gwd,02/01/2020,1
2960669,Uganda be kidding me / Chelsea Handler.,"Handler, Chelsea","1455599735, 9781455599738",2014.,"Grand Central Publishing,","Handler Chelsea Travel Humor, Travel Humor",acbk,nanf,,net,07/01/2020,1
2088728,The water hole / Graeme Base.,"Base, Graeme",0810945681,2001.,"Abrams Books for Young Readers,","Animals Juvenile fiction, Rain and rainfall Juvenile fiction, Hydrologic cycle Juvenile fiction, Water Juvenile fiction, Counting Juvenile fiction",jcbk,ncpic,,wts,07/01/2020,1
3489699,The tree that's meant to be / Yuval Zommer.,"Zommer, Yuval","0593119673, 9780593119679",[2019],"Doubleday Books for Young Readers,","Trees Juvenile fiction, Christmas stories, Forest animals Juvenile fiction, Christmas Fiction, Picture books",jcbk,nchol,,nhy,06/01/2020,1
3479398,Capturing the devil / Kerri Maniscalco.,"Maniscalco, Kerri","0316485543, 0316495247, 9780316485548, 9780316495240",[2019],"Jimmy Patterson Books,","Worlds Columbian Exposition 1893 Chicago Ill Juvenile fiction, Serial murderers Juvenile fiction, Chicago Ill History 19th century Juvenile fiction, Mystery and detective stories, Young adult fiction",acbk,nyfic,,bal,12/01/2020,1
3009607,"Winging it : Oracle Team USA's incredible comeback to defend the America's Cup / Diane Swintal, R. Steven Tsuchiya, and Robert Kamins.","Swintal, Diane","0071834125, 9780071834124",c2014.,"International Marine/McGraw-Hill Education,","Oracle Team USA, Americas Cup 34th 2013 San Francisco Calif",acbk,namar,,bal,03/01/2020,1
