BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3243924,Melena's jubilee : the story of a fresh start / Zetta Elliott ; illustrated by Aaron Boyd.,"Elliott, Zetta","0884484432, 9780884484431",[2016],"Tilbury House Publishers,","Forgiveness Juvenile fiction, Grandmothers Juvenile fiction, Picture books",jcbk,ncpic,,nga,10/01/2020,1
3348253,No way home : a memoir of life on the run / Tyler Wetherall.,"Wetherall, Tyler, 1983-","1250112192, 9781250112194",2018.,"St. Martin's Press,","Wetherall Tyler 1983, Children of criminals United States Biography, Fathers and daughters United States Biography, Fugitives from justice Family relationships United States, Women authors American Biography",acbk,nanf,,uni,01/01/2020,1
2960668,Plato at the Googleplex : why philosophy won't go away / Rebecca Newberger Goldstein.,"Goldstein, Rebecca, 1950-","0307378195, 9780307378194",[2014],"Pantheon Books,","Plato Influence, Philosophy History 21st century, Imaginary conversations",acbk,nanf,,uni,07/01/2020,1
509907,DisplayWrite 4 made easy / Gail Todd.,"Todd, Gail",0078812704,[1987],"Osborne McGraw-Hill,","DisplayWrite 4 Computer file, Word processing",acbk,cs7,,cen,09/01/2020,1
3379567,How to start kindergarten / by Cathy Hapka and Ellen Titlebaum ; illustrated by Debbie Palen.,"Hapka, Cathy","1524715514, 1524715522, 9781524715519, 9781524715526",[2018],"Random House,","Kindergarten Juvenile fiction, Schools Juvenile fiction, Friendship Juvenile fiction, Imitation Juvenile fiction, Kindergarten Fiction, Schools Fiction, Friendship Fiction, Readers Publications",jcbk,ncrdr,,uni,10/01/2020,1
3368754,Handcrafted : a woodworker's story / Clint Harp.,"Harp, Clint","1501188984, 1501188992, 9781501188985, 9781501188992",2018.,"Touchstone,","Harp Clint, Cabinetmakers United States Biography, Furniture making Anecdotes",acbk,nanf,,gwd,10/01/2020,1
2802766,The wishing spell / Chris Colfer ; illustrated by Brandon Dorman.,"Colfer, Chris, 1990-","031620157X, 9780316201575",2012.,"Little, Brown,","Fairy tales, Characters in literature Fiction, Magic Fiction, Brothers and sisters Fiction, Twins Juvenile fiction",jcbk,ncfic,,qna,02/01/2020,1
3385789,Shelter of the most high / Connilyn Cossette.,"Cossette, Connilyn","0764219871, 0764232797, 9780764219870, 9780764232794",[2018],"Bethany House, a division of Baker Publishing Group,","Bible Old Testament History of Biblical events Fiction, Christian fiction, Historical fiction, Bible fiction",acbk,nafic,,swt,08/01/2020,1
3455078,Love on every breath : Tonglen meditation for transforming pain into joy / Lama Palden Drolma.,"Drolma, Palden, Lama, 1952-","1608685764, 9781608685769, 9781608685776",[2019],"New World Library,","Meditation Buddhism, Spiritual life Buddhism, Compassion Religious aspects Buddhism, Buddhism China Tibet Autonomous Region",acbk,canf,,cen,02/01/2020,1
3484207,Elements of fiction / Walter Mosley.,"Mosley, Walter","0802147631, 9780802147639",[2019],Grove Press : Distributed by Publishers Group West,"Fiction Authorship, Fiction Technique, Creative writing, Plots Drama novel etc",acbk,nanf,,nhy,10/01/2020,1
89757,The dawn's early light.,"Lord, Walter, 1917-2002",0393054527,[1972],"Norton,",United States History War of 1812,acbk,canf,,cen,06/01/2020,1
1265289,Chilton's guide to automatic transmission repair. Import cars & trucks.,,,,Chilton Book Co.,"Automobiles Foreign Transmission devices Automatic Maintenance and repair Handbooks manuals etc, Trucks Foreign Transmission devices Automatic Maintenance and repair Handbooks manuals etc",arbk,cadesk7,,cen,06/01/2020,2
3229240,An extraordinary union / Alyssa Cole.,"Cole, Alyssa","1496707443, 9781496707444",[2017],"Kensington Books,","African American women Fiction, Women spies Fiction, Secret service Fiction, Man woman relationships Fiction, United States History Civil War 1861 1865 Participation Female Fiction, Spy fiction, Romance fiction, Historical fiction",acbk,nafic,,net,06/01/2020,1
261588,From French West Africa to the Mali Federation / by William J. Foltz.,"Foltz, William J.",,1965.,"Yale University Press,","Mali Politics and government, Senegal Politics and government, Africa French speaking West Politics and government",acbk,canf,,cen,08/01/2020,1
3109450,"Are we there, Yeti? / Ashlyn Anstee.","Anstee, Ashlyn","1481430890, 9781481430890",[2015],"Simon & Schuster Books for Young Readers,","School field trips Juvenile fiction, Bus drivers Juvenile fiction, Yeti Juvenile fiction, Humorous stories",jcbk,ncpic,,bea,11/01/2020,1
3505565,The measure of our lives : a gathering of wisdom / Toni Morrison ; foreword by Zada Smith.,"Morrison, Toni","0525659293, 9780525659297",2019.,"Alfred A. Knopf,","Morrison Toni Quotations, Self actualization Psychology Quotations, Quotations",acbk,nanf,,wal,03/01/2020,1
2903105,Reconstructing America / Joy Hakim.,"Hakim, Joy","0195189000, 0195189043, 019522311X, 0195223225, 0195327217, 9780195189001, 9780195189049, 9780195223118, 9780195223224, 9780195327212",[2005],"Oxford University Press,","Reconstruction U S history 1865 1877 Juvenile literature, United States History 1865 1898 Juvenile literature, United States Social conditions 1865 1918 Juvenile literature",jcbk,ncnf,,glk,01/01/2020,1
3420447,Job site / Nathan Clement.,"Clement, Nathan, 1966-","1590787692, 9781590787694",[2011],"Boyds Mills Press,","Building Juvenile fiction, Construction equipment Juvenile fiction, Construction workers Juvenile fiction, Picture books",jcbk,ncpic,,net,04/01/2020,2
1630932,"Parks and Recreation grounds maintenance program : a Legislative Audit report to the Seattle City Council / Dave Anthony, Auditor, Lauraine Brekke, Auditor (Legislative Audits).","Anthony, Dave.",,[1975],"The Council,","Seattle Wash Department of Parks and Recreation Auditing, Grounds maintenance Washington State Seattle Auditing, Parks Washington State Seattle Maintenance Auditing",arbk,casea,,cen,09/01/2020,1
3456841,Fake it till you break it / Jenn P. Nguyen.,"Nguyen, Jenn P.","1250308011, 9781250308016",2019.,"Swoon Reads,","Dating Social customs Juvenile fiction, Interpersonal relations Juvenile fiction, Dating Social customs Fiction, Interpersonal relations Fiction, Romance fiction",acbk,nyfic,,swt,08/01/2020,1
3396984,The stuff of stars / Marion Dane Bauer ; illustrations by Ekua Holmes.,"Bauer, Marion Dane","076367883X, 9780763678838",2018.,"Candlewick Press,","Big bang theory Juvenile literature, Big bang theory, Picture books",jcbk,ncpic,,bro,04/01/2020,1
3402905,Kickback : exposing the global corporate bribery network / David Montero.,"Montero, David.","0670016470, 9780670016471",[2018],"Viking,","Corporations Corrupt practices, Bribery",acbk,nanf,,qna,11/01/2020,1
3269706,"Two paths : America divided or united / John Kasich, with Daniel Paisner.","Kasich, John","1250138469, 9781250138460",c2017.,"Thomas Dunne Book/St. Martin's Press,","Kasich John, Presidents United States Election 2016, Presidential candidates United States Biography, United States Politics and government 2009, Autobiographies",acbk,canf,,cen,07/01/2020,2
288497,"Prehistoric Scotland and its place in European civilization; being a general introduction to the ""County histories of Scotland.""","Munro, Robert, 1835-1920",,1899.,"Blackwood,",Scotland Antiquities,arbk,cs8r,,cen,07/01/2020,1
3434400,Mad blood stirring / Simon Mayo.,"Mayo, Simon","164313003X, 9781643130033",2019.,"Pegasus Books,","Dartmoor Prison Fiction, Napoleonic Wars 1800 1815 Participation American Fiction, Great Britain History 1800 1837 Fiction, Historical fiction",acbk,nafic,,nga,11/01/2020,1
2767155,"Dying to be me : my journey from cancer, to near death, to true healing / Anita Moorjani.","Moorjani, Anita, 1959-","1401937519, 1401937535, 9781401937515, 9781401937539",2012.,"Hay House,","Moorjani Anita 1959 Health, Cancer Patients Biography, Cancer Psychological aspects",acbk,nanf,,gwd,09/01/2020,1
3404409,Attack of the plants / by Annmarie Anderson.,"Anderson, AnnMarie","1338290797, 1338290800, 9781338290790, 9781338290806",2018.,"Scholastic,","Plants Juvenile fiction, Galapagos Islands Juvenile fiction, Introduced organisms Juvenile fiction, Plants Fiction, Galapagos Islands Fiction",jcbk,ncef,,mon,08/01/2020,1
3472661,The unkindest tide / Seanan McGuire.,"McGuire, Seanan","0756415071, 9780756415075",2019.,"DAW Books,","Daye October Fictitious character Fiction, Fairies Fiction, Debt Fiction, Murder Fiction, Selkies Fiction, Fantasy fiction, Fantasy fiction, Paranormal fiction",acbk,nafic,,lcy,11/01/2020,1
738442,Art treasures of Germany / edited by Bernd Lohse and Harald Busch. With an introduction by Rudolf Hagelstange and commentaries on the illustrations by Helmut Domke.,"Lohse, Bernd",,1958.,"Batsford,",Art Germany,acbk,canf,,cen,08/01/2020,1
3422536,Love in the new millennium / Can Xue ; foreword by Eileen Myles ; translated from the Chinese by Annelise Finegan Wasmoen.,"Canxue, 1953-","0300224311, 9780300224313",[2018],"Yale University Press,","Husband and wife Fiction, Paramours Fiction, Romance fiction, Love stories",acbk,nafic,,bea,07/01/2020,1
3436943,Animalicious : a quirky ABC book / Anna Dewdney & Reed Duncan ; illustrations by Claudia Boldt.,"Dewdney, Anna","1524792055, 9781524792053",[2019],"Penguin Workshop, an imprint of Penguin Random House LLC,","Animals Mythical Juvenile literature, Alphabet books, Alphabet, Picture books",jcbk,ncpic,,glk,10/01/2020,1
3104956,Grendel's game / Erik Mauritzson.,"Mauritzson, Erik","1579623980, 9781579623982",[2015],"The Permanent Press,","Serial murder investigation Fiction, Mystery fiction",acbk,namys,Floating,bal,06/01/2020,1
3086463,"Billy Sure, kid entrepreneur / invented by Luke Sharpe ; drawings by Graham Ross.","Sharpe, Luke (Children's fiction writer)","1481439472, 1481439480, 9781481439473, 9781481439480",2015.,"Simon Spotlight,","Young businesspeople Juvenile fiction, Contests Juvenile fiction, Inventors Juvenile fiction",jcbk,ncfic,,fre,02/01/2020,1
3455706,Dogs and their people / Anne Lambelet.,"Lambelet, Anne","1624146899, 9781624146893",2019.,"Page Street Kids, an imprint of Page Street Publishing Co.,","Dogs Juvenile fiction, Human animal relationships Juvenile fiction, Humorous fiction",jcbk,ncpic,,bal,05/01/2020,1
3229716,"Judge Dredd. Mega-city zero. Volume 3 / [writers, Ulises Farinas & Erick Freitas ; artist, Dan McDaid ; colorist, Ryan Hill ; letterers, Shawn Lee and Chris Mowry].","Farinas, Ulises","1631408380, 9781631408380",[2017],"IDW,","Dredd Judge Fictitious character Comic books strips etc, Science fiction comics, Graphic novels, Comics Graphic works",acbk,cacomic,,cen,03/01/2020,1
732620,"Golden was the past; Cottage Grove, Oregon, 1850-1970. / Prepared by the Writers Discussion Group.",,,1970.,"Sentinel Print Shop,","Frontier and pioneer life Oregon Lane County, Cottage Grove Or",arbk,caref,,cen,11/01/2020,1
3295819,Mysteries of the Overworld / Danica Davidson.,"Davidson, Danica","1510727035, 1510728511, 9781510727038, 9781510727090, 9781510728516",[2018],"Sky Pony Press,","Adventure and adventurers Fiction, Minecraft Game Juvenile fiction, Video games Juvenile fiction",jcbk,ncfic,,swt,04/01/2020,1
1695109,"Crossing the frontier : photographs of the developing West, 1849 to the present / Sandra S. Phillips ... [and others].",,0811814203,[1996],"San Francisco Museum of Modern Art : Chronicle Books,","Landscape photography West U S Exhibitions, West U S History Exhibitions",acbk,canf,,cen,11/01/2020,1
3420592,Phrases of the moon : lunar poems / J. Patrick Lewis ; illustrated by Jori van der Linde.,"Lewis, J. Patrick","1568463111, 9781568463117",[2018],"Creative Editions,",Moon Juvenile poetry,jcbk,ncenf,,qna,05/01/2020,1
518624,"Volvo 740 & 760 owners workshop manual : models covered, Volvo 740, GL, GLE and GLT, 2316 cc, Volvo 740 Turbo and 760 Turbo, 2316 cc, Volvo 760 GLE, 2849 cc, does not cover changes introduced for 1987 model year, or diesel engine variants / Matthew Minter.","Minter, Matthew",1850102589,[1987],"Haynes Pub.Group ; Haynes Publications,",Volvo automobile Maintenance and repair Handbooks manuals etc,acbk,canf,,cen,07/01/2020,1
3439108,The White City / Grace Hitchcock.,"Hitchcock, Grace","1683228685, 9781683228684",[2019],"Barbour Books,","Mudgett Herman W 1861 1896 Fiction, Worlds Columbian Exposition 1893 Chicago Ill Fiction, Kidnapping Investigation Fiction, Chicago Ill History 19th century Fiction, Detective and mystery fiction, Historical fiction, Christian fiction",acbk,nafic,,nga,07/01/2020,1
2523221,"The milkshake moment : overcoming stupid systems, pointless policies, and muddled management to realize real growth / Steven S. Little.","Little, Steven S., 1961-","0470257466, 9780470257463",[2008],"John Wiley & Sons,","Industrial management, Integrity, Conformity, Employee empowerment, Organizational effectiveness",acbk,canf,,cen,11/01/2022,1
3277381,How it feels to be a boat / written and illustrated by James Kwan.,"Kwan, James","0544715330, 9780544715332",[2017],"Houghton Mifflin Harcourt,","Distress Psychology Juvenile fiction, Anxiety Juvenile fiction, Worry Juvenile fiction, Emotional intelligence Juvenile fiction, Boats and boating Juvenile fiction, Picture books",jcbk,ncpic,,net,01/01/2020,1
2363460,Genealogical research in Nova Scotia / Terrence M. Punch.,"Punch, Terrence M.",1551092352,[1998],"Nimbus,",Nova Scotia Genealogy Handbooks manuals etc,arbk,cagbi,,cen,09/01/2020,1
2734243,The Christmas pups / by Teresa Bateman ; illustrated by John Kanzler.,"Bateman, Teresa","0807511609, 9780807511602",2011.,"Albert Whitman,","Dog adoption Juvenile fiction, Animal shelters Juvenile fiction, Dogs Fiction, Animals Infancy Juvenile fiction, Christmas Fiction",jcbk,nchol,,gwd,07/01/2020,1
3047358,English grammar in use : a self-study reference and practice book for intermediate students of English : with answers / Raymond Murphy.,"Murphy, Raymond","0521189063, 9780511961731, 9780521189064, 9780521189088, 9780521189392, 9781107641389",2012.,"Cambridge University Press,","English language Textbooks for foreign speakers, English language Grammar, English language Grammar Problems exercises etc",bcbk,naesli,,net,12/01/2020,2
91002,Whispers from old Genesee and echoes of the Salmon River / by John A. Platt.,"Platt, John A.",0877701431,1975.,"Galleon Press,","Platt John A, Frontier and pioneer life Idaho, Genesee Idaho History, Salmon River Valley Idaho History",acbk,canf,,cen,06/01/2020,1
3494394,The starless sea / Erin Morgenstern.,"Morgenstern, Erin","0593106482, 9780593106488",[2019],"Random House Large Print,","Imaginary places Fiction, Magic Fiction, Library shelving Fiction, Man woman relationships Fiction, Seas Fiction, Rare books Fiction, Graduate students Fiction, Vermont Fiction, Large type books, Fantasy fiction, Romance fiction",acbk,nalpfic,Floating,nga,02/01/2020,1
3339231,What will soon take place : poems / Tania Runyan.,"Runyan, Tania","161261857X, 9781612618579","[2017], c2018.","Paraclete Press,",,acbk,nanf,,glk,02/01/2020,1
332599,Old Scottish clockmakers from 1453 to 1850 / compiled from original sources with notes by John Smith.,"Smith, John (Antiquarian)",,1921.,"Oliver and Boyd,",Clock and watch makers Scotland,arbk,cs8r,,cen,01/01/2020,1
1663590,The Hudson River school : American landscape artists / Bert D. Yaeger.,"Yaeger, Bert D.",0831780843,[1996],"Smithmark,","Hudson River school of landscape painting, Landscape painting American Hudson River Valley N Y and N J, Landscape painting American Hudson River Valley N Y and N J 19th century, Hudson River Valley N Y and N J In art",acbk,nanf,,gwd,03/01/2020,1
3218975,What's wrong with mindfulness (and what isn't) : Zen perspectives / edited by Robert Meikyo Rosenbaum and Barry Magid.,,"1614292833, 9781614292838",[2016],"Wisdom,","Meditation Buddhism, Zen Buddhism Doctrines",acbk,canf,,cen,02/01/2020,1
3458644,One tiny turtle / Nicola Davies ; illustrated by Jane Chapman.,"Davies, Nicola, 1958-","0763623113, 1417674814, 9780763623111, 9781417674817",2004.,"Candlewick Press,","Loggerhead turtle Juvenile literature, Turtles",jcbk,ncenf,,lcy,04/01/2020,1
3296444,Barking to the choir : the power of radical kinship / Gregory Boyle.,"Boyle, Greg","1476726159, 1476726167, 9781476726151, 9781476726168",2017.,"Simon & Schuster,","Boyle Greg, Church work with juvenile delinquents California East Los Angeles, Christian life Anecdotes",acbk,nanf,,cap,01/01/2020,1
3409834,The bird king / G. Willow Wilson.,"Wilson, G. Willow, 1982-","080212903X, 9780802129031",[2019],"Grove Press,","Cartographers Fiction, Inquisition Spain Fiction, Voyages and travels Fiction, Spain History 711 1516 Fiction, Fantasy fiction, Historical fiction",acbk,cafic,,cen,04/01/2020,5
3344962,Blue rider / Geraldo Valério.,"Valério, Geraldo, 1970-","1554989817, 9781554989812",2018.,"Groundwood Books, House of Anansi Press,","Imagination Juvenile fiction, Books and reading Juvenile fiction, Stories without words",jcbk,ncpic,,uni,02/01/2020,1
