,Title,Author,TitleMain,Subtitle
562,German English visual bilingual dictionary / translation and editing by Christine Arthur.,,German English visual bilingual dictionary , translation and editing by Christine Arthur.
566,Best American food writing 2018 / edited and with an introduction by Ruth Reichl.,,Best American food writing 2018 , edited and with an introduction by Ruth Reichl.
587,Dispatches from continent seven : an anthology of Antarctic science / Rebecca Priestley.,,Dispatches from continent seven : an anthology of Antarctic science , Rebecca Priestley.
630,"The feminism book / [contributors, Hannah McCann, consultant editor ; Georgie Carroll, Beverley Duguid, Kathryn Gehred, Liana Kirillova, Ann Kramer, Marian Smith Holmes, Shannon Weber ; Lucy Mangan, foreword].",,The feminism book ," [contributors, Hannah McCann, consultant editor ; Georgie Carroll, Beverley Duguid, Kathryn Gehred, Liana Kirillova, Ann Kramer, Marian Smith Holmes, Shannon Weber ; Lucy Mangan, foreword]."
647,Theatre alive! : an introductory anthology of world drama / edited with historical introductions by Norman A. Bert.,,Theatre alive! : an introductory anthology of world drama , edited with historical introductions by Norman A. Bert.
652,"The girl who married a skull, and other African stories : a cautionary fables + fairytales book / [editors, C. Spike Trotman, Kate Ashwin, Kel McDonald, Taneka Stotts].",,"The girl who married a skull, and other African stories : a cautionary fables + fairytales book "," [editors, C. Spike Trotman, Kate Ashwin, Kel McDonald, Taneka Stotts]."
672,Disney fun songs.,,Disney fun songs.,
680,"Freedom, a documentary history of emancipation, 1861-1867.",,"Freedom, a documentary history of emancipation, 1861-1867.",
713,More fun with nature : take-along guide.,,More fun with nature : take-along guide.,
734,Sharing our world : animals of the Native Northwest Coast.,,Sharing our world : animals of the Native Northwest Coast.,
775,Fathers : a collection of poems / edited by David Ray and Judy Ray.,,Fathers : a collection of poems , edited by David Ray and Judy Ray.
793,"The tile book : history, pattern, design / introduction by Terry Bloxham.",,"The tile book : history, pattern, design ", introduction by Terry Bloxham.
805,Mediterranean Islands / [compiled and edited by Charles Arnold].,,Mediterranean Islands , [compiled and edited by Charles Arnold].
807,Cascadia scorecard : seven key trends shaping the Northwest / Northwest Environment Watch.,,Cascadia scorecard : seven key trends shaping the Northwest , Northwest Environment Watch.
809,Racial ecologies / edited by Leilani Nishime and Kim D. Hester Williams.,,Racial ecologies , edited by Leilani Nishime and Kim D. Hester Williams.
834,"Alternative publications : a guide to directories, indexes, bibliographies, and other sources / edited by Cathy Seitz Whitaker.",,"Alternative publications : a guide to directories, indexes, bibliographies, and other sources ", edited by Cathy Seitz Whitaker.
837,"The perfect cookie : your ultimate guide to foolproof cookies, brownies & bars / the editors at America's Test Kitchen.",,"The perfect cookie : your ultimate guide to foolproof cookies, brownies & bars ", the editors at America's Test Kitchen.
838,Dating : flirting with big ideas / edited by Kristie Miller and Marlene Clark ; foreword by Joshua Wolf Shenk.,,Dating : flirting with big ideas , edited by Kristie Miller and Marlene Clark ; foreword by Joshua Wolf Shenk.
859,"Frogs and toads / [US senior editior, Shannon Beatty].",,Frogs and toads ," [US senior editior, Shannon Beatty]."
887,Pros and comic cons / edited by Hope Nicholson ; with edits from Nyala Ali ; cover art by Colleen Coover.,,Pros and comic cons , edited by Hope Nicholson ; with edits from Nyala Ali ; cover art by Colleen Coover.
896,"1001 gardens you must see before you die / general editor, Rae Spencer-Jones ; preface by Dr. Elizabeth Scholtz, Brooklyn Botanic Garden.",,1001 gardens you must see before you die ," general editor, Rae Spencer-Jones ; preface by Dr. Elizabeth Scholtz, Brooklyn Botanic Garden."
903,Diaghilev and the Golden Age of the Ballets Russes 1909-1929 / edited by Jane Pritchard.,,Diaghilev and the Golden Age of the Ballets Russes 1909-1929 , edited by Jane Pritchard.
912,Todd Saunders : architecture in northern landscapes / edited and written by Ellie Stathaki and Jonathan Bell ; photography by Bent René Synnevåg ; preface by Joseph Grima.,,Todd Saunders : architecture in northern landscapes , edited and written by Ellie Stathaki and Jonathan Bell ; photography by Bent René Synnevåg ; preface by Joseph Grima.
924,Pokémon. Alola Region handbook.,,Pokémon. Alola Region handbook.,
931,"Environmental literature : an encyclopedia of works, authors, and themes / [compiled by] Patricia D. Netzley.",,"Environmental literature : an encyclopedia of works, authors, and themes ", [compiled by] Patricia D. Netzley.
944,"Family guide. Italy / [contributors, Gillian Arthur, Ros Belford, Lucy Ratcliffe, Kate Singleton, Helena Smith, Celia Woolfrey].",,Family guide. Italy ," [contributors, Gillian Arthur, Ros Belford, Lucy Ratcliffe, Kate Singleton, Helena Smith, Celia Woolfrey]."
964,"Leave the lipstick, take the iguana : funny travel stories and strange packing tips / edited by Marcy Gordon.",,"Leave the lipstick, take the iguana : funny travel stories and strange packing tips ", edited by Marcy Gordon.
1006,"Martha Stewart's cakes : our first-ever book of bundts, loaves, layers, coffee cakes, and more / from the editors of Martha Stewart Living.",,"Martha Stewart's cakes : our first-ever book of bundts, loaves, layers, coffee cakes, and more ", from the editors of Martha Stewart Living.
1014,"Look, I'm an engineer.",,"Look, I'm an engineer.",
1020,"Industrial engineering terminology : a revision of ANSI Z94.0-1982 : an American national standard, approved July 10, 1989.",,"Industrial engineering terminology : a revision of ANSI Z94.0-1982 : an American national standard, approved July 10, 1989.",
1028,Pleasure activism : the politics of feeling good / written and gathered by adrienne maree brown.,,Pleasure activism : the politics of feeling good , written and gathered by adrienne maree brown.
1029,Lincoln's devotional.,,Lincoln's devotional.,
1060,Cracking the SAT / the staff of the Princeton Review.,,Cracking the SAT , the staff of the Princeton Review.
1063,"Picasso, Miró, Dalí : angry young men : the birth of modernity / edited by Eugenio Carmona.",,"Picasso, Miró, Dalí : angry young men : the birth of modernity ", edited by Eugenio Carmona.
1070,The official SAT study guide / written and edited by the College Board.,,The official SAT study guide , written and edited by the College Board.
1079,Preaching in Hitler's shadow : sermons of resistance in the Third Reich / edited by Dean G. Stroud.,,Preaching in Hitler's shadow : sermons of resistance in the Third Reich , edited by Dean G. Stroud.
1103,Splat the Cat storybook collection / based on the creation of Rob Scotton.,,Splat the Cat storybook collection , based on the creation of Rob Scotton.
1118,"New Zealand : top sites, authentic experiences / Charles Rawlings-Way [and 6 others].",,"New Zealand : top sites, authentic experiences ", Charles Rawlings-Way [and 6 others].
1119,"Batman chronicles. Volume eight / Batman created by Bob Kane ; writers, Don Cameron ... [and others] ; artists, Jerry Robinson ... [and others].",,Batman chronicles. Volume eight ," Batman created by Bob Kane ; writers, Don Cameron ... [and others] ; artists, Jerry Robinson ... [and others]."
1126,One sheet eats : 100+ delicious recipes all made on a baking sheet.,,One sheet eats : 100+ delicious recipes all made on a baking sheet.,
1139,"Play with art / [senior designer and illustrator, Rachael Parfitt Hunt ; designer and illustrator, Rachael Hare].",,Play with art ," [senior designer and illustrator, Rachael Parfitt Hunt ; designer and illustrator, Rachael Hare]."
1172,Visibility and highway navigation.,,Visibility and highway navigation.,
1200,Crochet one-skein wonders : 101 projects from crocheters around the world / [edited by] Judith Durant and Edie Eckman ; photography by Keller & Keller Photography Inc.,,Crochet one-skein wonders : 101 projects from crocheters around the world , [edited by] Judith Durant and Edie Eckman ; photography by Keller & Keller Photography Inc.
1201,My wonderful nursery rhyme collection.,,My wonderful nursery rhyme collection.,
1220,"Plants of the Pacific Northwest coast : Washington, Oregon, British Columbia & Alaska / compiled and edited by Jim Pojar and Andy MacKinnon, B.C. Forest Service, Research Program.",,"Plants of the Pacific Northwest coast : Washington, Oregon, British Columbia & Alaska "," compiled and edited by Jim Pojar and Andy MacKinnon, B.C. Forest Service, Research Program."
1236,"The Amish sweet shop / Emma Miller, Laura Bradford, Mary Ellis.",,The Amish sweet shop ," Emma Miller, Laura Bradford, Mary Ellis."
1285,Best of Prairie schooner : fiction and poetry / edited by Hilda Raz.,,Best of Prairie schooner : fiction and poetry , edited by Hilda Raz.
1286,A valentine for Percy / based on the Railway Series by the Reverend W Awdry ; illustrated by Richard Courtney.,,A valentine for Percy , based on the Railway Series by the Reverend W Awdry ; illustrated by Richard Courtney.
1290,"Housing costs and housing needs / edited by Alexander Greendale, Stanley F. Knock, Jr.",,Housing costs and housing needs ," edited by Alexander Greendale, Stanley F. Knock, Jr."
1301,Rock and royalty / Gianni Versace.,,Rock and royalty , Gianni Versace.
1332,"Sensation Comics featuring Wonder Woman. Volume 2 / Michael Jelenic [and nine others], writers ; Matthew Dow Smith [and eleven others], artists ; Lizzy John (and six others), colorists ; Saida Temofonte, Deron Bennett, Todd Klein, letterers.",,Sensation Comics featuring Wonder Woman. Volume 2 ," Michael Jelenic [and nine others], writers ; Matthew Dow Smith [and eleven others], artists ; Lizzy John (and six others), colorists ; Saida Temofonte, Deron Bennett, Todd Klein, letterers."
1344,"Cook's illustrated revolutionary recipes : groundbreaking techniques, compelling voices, one-of-a-kind recipes.",,"Cook's illustrated revolutionary recipes : groundbreaking techniques, compelling voices, one-of-a-kind recipes.",
1347,"Hip hop hares and other moments of epic silliness : more classic photographs from Outside magazine's ""Parting Shot"" / from the editors of Outside ; introduction by Bill Vaughn.",,"Hip hop hares and other moments of epic silliness : more classic photographs from Outside magazine's ""Parting Shot"" ", from the editors of Outside ; introduction by Bill Vaughn.
1359,"Ireland / Neil Wilson, Isabel Albiston, Fionn Davenport, Damian Harper, Catherine Le Nevez.",,Ireland ," Neil Wilson, Isabel Albiston, Fionn Davenport, Damian Harper, Catherine Le Nevez."
1368,Taking punk to the masses : from nowhere to Nevermind : a visual history from the permanent collection of Experience Music Project / [edited by] Jacob McMurray ; [foreword by Krist Novoselic].,,Taking punk to the masses : from nowhere to Nevermind : a visual history from the permanent collection of Experience Music Project , [edited by] Jacob McMurray ; [foreword by Krist Novoselic].
1415,Poems to learn by heart / [selected by] Caroline Kennedy ; paintings by Jon J Muth.,,Poems to learn by heart , [selected by] Caroline Kennedy ; paintings by Jon J Muth.
1417,"New households, new housing / edited by Karen A. Franck, Sherry Ahrentzen.",,"New households, new housing "," edited by Karen A. Franck, Sherry Ahrentzen."
1419,"The junior baker cookbook / developed by Williams Sonoma Test Kitchen ; photographs, Aubrie Pick.",,The junior baker cookbook ," developed by Williams Sonoma Test Kitchen ; photographs, Aubrie Pick."
1425,Understanding OCD : a guide for parents and professionals / edited by Adam B. Lewin and Eric Storch.,,Understanding OCD : a guide for parents and professionals , edited by Adam B. Lewin and Eric Storch.
1436,The Qur'an : a translation for the 21st century / [translated by] Adil Salahi.,,The Qur'an : a translation for the 21st century , [translated by] Adil Salahi.
1437,The hidden history of American fashion : rediscovering twentieth-century women designers / edited by Nancy Deihl.,,The hidden history of American fashion : rediscovering twentieth-century women designers , edited by Nancy Deihl.
1459,"Drums and shadows : survival studies among the Georgia coastal Negroes / Savannah Unit, Georgia Writers' Project, Work Projects Administration ; introduction by Charles Joyner ; photographs by Muriel and Malcolm Bell, Jr.",,Drums and shadows : survival studies among the Georgia coastal Negroes ," Savannah Unit, Georgia Writers' Project, Work Projects Administration ; introduction by Charles Joyner ; photographs by Muriel and Malcolm Bell, Jr."
1468,Selling the people's Cadillac : the Edsel and corporate responsibility / [compiled by] Jan G. Deutsch.,,Selling the people's Cadillac : the Edsel and corporate responsibility , [compiled by] Jan G. Deutsch.
1488,The poetry of Sylvia Plath / edited by Claire Brennan ; consultant editor Nicolas Tredell.,,The poetry of Sylvia Plath , edited by Claire Brennan ; consultant editor Nicolas Tredell.
1490,"Emigrants from Ireland to America, 1735-1743 : a transcription of the report of the Irish House of Commons into enforced emigration to America / by Frances McDonnell.",,"Emigrants from Ireland to America, 1735-1743 : a transcription of the report of the Irish House of Commons into enforced emigration to America ", by Frances McDonnell.
1518,Thomas and the buzzy bees.,,Thomas and the buzzy bees.,
1529,"Biographical dictionary of social welfare in America / Walter I. Trattner, editor.",,Biographical dictionary of social welfare in America ," Walter I. Trattner, editor."
1538,I can't believe you said that! : a second book of insults / compiled by William Cole and Louis Phillips.,,I can't believe you said that! : a second book of insults , compiled by William Cole and Louis Phillips.
1615,On equality of educational opportunity. / Edited by Frederick Mosteller & Daniel P. Moynihan.,,On equality of educational opportunity. , Edited by Frederick Mosteller & Daniel P. Moynihan.
1658,Here comes Mother Goose / edited by Iona Opie ; illustrated by Rosemary Wells.,,Here comes Mother Goose , edited by Iona Opie ; illustrated by Rosemary Wells.
1681,Art nouveau display alphabets : 100 complete fonts / selected and arranged by Dan X. Solo from the Solotype typographers catalog.,,Art nouveau display alphabets : 100 complete fonts , selected and arranged by Dan X. Solo from the Solotype typographers catalog.
1684,Italian English visual bilingual dictionary.,,Italian English visual bilingual dictionary.,
1692,Get rolling with phonics / illustrated by the Artful Doodlers ; based on the Railway Series by the Reverend W. Awdry.,,Get rolling with phonics , illustrated by the Artful Doodlers ; based on the Railway Series by the Reverend W. Awdry.
1710,Minecraft. Stories from the overworld.,,Minecraft. Stories from the overworld.,
1714,"The Oxford new Russian dictionary : Russian-English, English-Russian = Russko-angliĭskiĭ, Anglo-russkiĭ.",,"The Oxford new Russian dictionary : Russian-English, English-Russian = Russko-angliĭskiĭ, Anglo-russkiĭ.",
1735,The Little Red Hen / illustrated by Barry Downard.,,The Little Red Hen , illustrated by Barry Downard.
1772,"Jungle animals / editor, Arpita Nath.",,Jungle animals ," editor, Arpita Nath."
1781,How the robin got its red breast : a legend of the Sechelt people / illustrated by Charlie Craigan.,,How the robin got its red breast : a legend of the Sechelt people , illustrated by Charlie Craigan.
1782,"Legislative women : getting elected, getting ahead / edited by Beth Reingold.",,"Legislative women : getting elected, getting ahead ", edited by Beth Reingold.
1799,At ease : Navy men of World War II / [compiled by] Evan Bachner.,,At ease : Navy men of World War II , [compiled by] Evan Bachner.
1801,Super supper throwdown.,,Super supper throwdown.,
1824,"Pioneer girl perspectives : exploring Laura Ingalls Wilder / Nancy Tystad Koupal, editor.",,Pioneer girl perspectives : exploring Laura Ingalls Wilder ," Nancy Tystad Koupal, editor."
1827,"Girls from da hood 10 / [Treasure Hernandez, Blake Karrington & T.C. Littles].",,Girls from da hood 10 ," [Treasure Hernandez, Blake Karrington & T.C. Littles]."
1833,West coast of Vancouver Island cruising atlas / aerial photos by George McNutt ; digital cartography by Bob Nelson & Christine Nelson.,,West coast of Vancouver Island cruising atlas , aerial photos by George McNutt ; digital cartography by Bob Nelson & Christine Nelson.
1837,Take this advice : the most nakedly honest graduation speeches ever given / edited by Sandra Bark.,,Take this advice : the most nakedly honest graduation speeches ever given , edited by Sandra Bark.
1866,Cuba on the verge : 12 writers on continuity and change in Havana and across the country / edited by Leila Guerriero.,,Cuba on the verge : 12 writers on continuity and change in Havana and across the country , edited by Leila Guerriero.
1889,Mapping it out : an alternative atlas of contemporary cartographies / edited by Hans-Ulrich Obrist ; [introduction by Tom McCarthy].,,Mapping it out : an alternative atlas of contemporary cartographies , edited by Hans-Ulrich Obrist ; [introduction by Tom McCarthy].
1908,Story songs : 52 narrative classics.,,Story songs : 52 narrative classics.,
1933,"Therapeutic guide to herbal medicines / developed by a special expert committee of the German Federal Institute for Drugs and Medical Devices ; senior editor, Mark Blumenthal ; associate editors, Werner R. Busse ... [and others] ; primary translator, Sigrid Kelin ; associate translator, Robert S. Rister ; with a foreword by Varro E. Tyler.",,Therapeutic guide to herbal medicines ," developed by a special expert committee of the German Federal Institute for Drugs and Medical Devices ; senior editor, Mark Blumenthal ; associate editors, Werner R. Busse ... [and others] ; primary translator, Sigrid Kelin ; associate translator, Robert S. Rister ; with a foreword by Varro E. Tyler."
1938,Curious George. My first bedtime stories.,,Curious George. My first bedtime stories.,
1947,Assessing ground-water vulnerability to contamination : providing scientifically defensible information for decision makers / by Michael J. Focazio ... [and others].,,Assessing ground-water vulnerability to contamination : providing scientifically defensible information for decision makers , by Michael J. Focazio ... [and others].
1974,Bibliomysteries : stories of crime in the world of books and bookstores. Volume two / edited by Otto Penzler.,,Bibliomysteries : stories of crime in the world of books and bookstores. Volume two , edited by Otto Penzler.
1980,"The Marriage of Maria Braun / Rainer Werner Fassbinder, director ; Joyce Rheuban, editor.",,The Marriage of Maria Braun ," Rainer Werner Fassbinder, director ; Joyce Rheuban, editor."
1987,Signspotting III : lost and loster in translation / compiled by Doug Lansky.,,Signspotting III : lost and loster in translation , compiled by Doug Lansky.
2001,Summertime in the Big Woods : adapted from the Little house books by Laura Ingalls Wilder / illustrated by Renée Graef.,,Summertime in the Big Woods : adapted from the Little house books by Laura Ingalls Wilder , illustrated by Renée Graef.
2007,Surviving sexual violence : a guide to recovery and empowerment / [edited by] Thema Bryant-Davis.,,Surviving sexual violence : a guide to recovery and empowerment , [edited by] Thema Bryant-Davis.
2028,"Look, I'm a scientist.",,"Look, I'm a scientist.",
2034,The Apex book of world SF. 2 / edited by Lavie Tidhar.,,The Apex book of world SF. 2 , edited by Lavie Tidhar.
2036,"Italian art, 1900-1945 / organized by Pontus Hulten and Germano Celant.",,"Italian art, 1900-1945 ", organized by Pontus Hulten and Germano Celant.
2049,"Around the world : the atlas for today / [edited by Andrew Losowsky, Sven Ehmann, and Robert Klanten ; preface, epilog, and chapter introductions by Andrew Losowsky ; texts by Ben Knight ; chapter illustrations by Dermot Flynn].",,Around the world : the atlas for today ," [edited by Andrew Losowsky, Sven Ehmann, and Robert Klanten ; preface, epilog, and chapter introductions by Andrew Losowsky ; texts by Ben Knight ; chapter illustrations by Dermot Flynn]."
2117,"Massage & aromatherapy : simple techniques to use at home to relieve stress, promote health, and feel great.",,"Massage & aromatherapy : simple techniques to use at home to relieve stress, promote health, and feel great.",
2127,Spider spins a story : fourteen legends from Native America / edited by Jill Max ; illustrations by Robert Annesley ... [and others].,,Spider spins a story : fourteen legends from Native America , edited by Jill Max ; illustrations by Robert Annesley ... [and others].
2169,Dark cities / edited by Christopher Golden.,,Dark cities , edited by Christopher Golden.
2178,North Pacific temperate rainforests : ecology and conservation / edited by Gordon H. Orians and John W. Schoen.,,North Pacific temperate rainforests : ecology and conservation , edited by Gordon H. Orians and John W. Schoen.
2179,Time Out. Stockholm.,,Time Out. Stockholm.,
2180,"Guillermo del Toro : at home with monsters : inside his films, notebooks, and collections / written by Britt Salvesen and Jim Shedden with Paul Koudounaris, Keith McDonald, and Roger Clark ; edited by Britt Salvesen, Jim Shedden, and Matthew Welch ; original illustrations by Guy Davis.",,"Guillermo del Toro : at home with monsters : inside his films, notebooks, and collections "," written by Britt Salvesen and Jim Shedden with Paul Koudounaris, Keith McDonald, and Roger Clark ; edited by Britt Salvesen, Jim Shedden, and Matthew Welch ; original illustrations by Guy Davis."
2219,85 years of great writing in Time : 1923-2008 / edited by Christopher Porterfield.,,85 years of great writing in Time : 1923-2008 , edited by Christopher Porterfield.
2229,"""Words for the hour"" : a new anthology of American Civil War poetry / edited by Faith Barrett and Cristanne Miller.",,"""Words for the hour"" : a new anthology of American Civil War poetry ", edited by Faith Barrett and Cristanne Miller.
2242,The Vietnam War : the definitive illustrated history.,,The Vietnam War : the definitive illustrated history.,
2244,"Sun, stone, and shadows : 20 great Mexican short stories / edited by Jorge F. Hernández.",,"Sun, stone, and shadows : 20 great Mexican short stories ", edited by Jorge F. Hernández.
2246,"Postwar America, 1950 to 1969 / Rodney P. Carlisle, general editor.",,"Postwar America, 1950 to 1969 "," Rodney P. Carlisle, general editor."
2279,Contemporary Black thought : alternative analyses in social and behavioral science / edited by Molefi Kete Asante and Abdulai S. Vandi.,,Contemporary Black thought : alternative analyses in social and behavioral science , edited by Molefi Kete Asante and Abdulai S. Vandi.
2282,Holy Bible : New Living Translation.,,Holy Bible : New Living Translation.,
2299,"Your brain : a user's guide / [editor, Jeffrey Kluger].",,Your brain : a user's guide ," [editor, Jeffrey Kluger]."
2348,Resurgent antisemitism : global perspectives / edited by Alvin H. Rosenfeld.,,Resurgent antisemitism : global perspectives , edited by Alvin H. Rosenfeld.
2369,"How to braise everything : classic, modern, and global dishes using a time-honored technique / America's Test Kitchen.",,"How to braise everything : classic, modern, and global dishes using a time-honored technique ", America's Test Kitchen.
2386,"The sex issue : everything you've always wanted to know about sexuality, seduction, and desire / by the editors of Goop ; foreword by Gwyneth Paltrow.",,"The sex issue : everything you've always wanted to know about sexuality, seduction, and desire ", by the editors of Goop ; foreword by Gwyneth Paltrow.
2392,The big New Yorker book of cats / foreword by Anthony Lane.,,The big New Yorker book of cats , foreword by Anthony Lane.
2426,"2005 AIDS Vaccine International Conference, Montreal, Canada, September 6-9, 2005 : staff trip report to the Committee on Foreign Relations, United States Senate, One Hundred Ninth Congress, first session.",,"2005 AIDS Vaccine International Conference, Montreal, Canada, September 6-9, 2005 : staff trip report to the Committee on Foreign Relations, United States Senate, One Hundred Ninth Congress, first session.",
2450,Dylan on Dylan : interviews and encounters / edited by Jeff Burger.,,Dylan on Dylan : interviews and encounters , edited by Jeff Burger.
2452,The Times atlas of the Second World War / edited by John Keegan.,,The Times atlas of the Second World War , edited by John Keegan.
2462,"Women and literature in Britain, 1500-1700 / edited by Helen Wilcox.",,"Women and literature in Britain, 1500-1700 ", edited by Helen Wilcox.
2467,"Science encyclopedia : atom smashing, food chemistry, animals, space, and more! / National Geographic.",,"Science encyclopedia : atom smashing, food chemistry, animals, space, and more! ", National Geographic.
2509,Homosexuality and American public life / edited by Christopher Wolfe.,,Homosexuality and American public life , edited by Christopher Wolfe.
2564,Adventure time comics. Volume 6 / created by Pendleton Ward.,,Adventure time comics. Volume 6 , created by Pendleton Ward.
2587,"Electing the president, 2008 : the insiders' view / edited by Kathleen Hall Jamieson.",,"Electing the president, 2008 : the insiders' view ", edited by Kathleen Hall Jamieson.
2597,Critical essays on Henrik Ibsen / [compiled by] Charles R. Lyons.,,Critical essays on Henrik Ibsen , [compiled by] Charles R. Lyons.
2599,American dragons : twenty-five Asian American voices / edited by Laurence Yep.,,American dragons : twenty-five Asian American voices , edited by Laurence Yep.
2608,Poems that make grown men cry : 100 men on the words that move them / edited by Anthony & Ben Holden.,,Poems that make grown men cry : 100 men on the words that move them , edited by Anthony & Ben Holden.
2621,"The legends of Easter treasury : inspirational stories of faith and hope / written by Dandi Daley Mackall, Lori Walburg & Chris Auer ; illustrated by Richard Cowdrey.",,The legends of Easter treasury : inspirational stories of faith and hope ," written by Dandi Daley Mackall, Lori Walburg & Chris Auer ; illustrated by Richard Cowdrey."
2629,"Ancient Chinese architecture / compiled by Chinese Academy of Architecture ; [project editors, Qiao Yun, Sun Dazhang ; translated by Wong Chi Kui, Chung Wah Nan].",,Ancient Chinese architecture ," compiled by Chinese Academy of Architecture ; [project editors, Qiao Yun, Sun Dazhang ; translated by Wong Chi Kui, Chung Wah Nan]."
